Bank,Id,Total Assets,Total Deposits,Number of Employees,Net Income,Total Liabilities,Total Equity Capital,Derivatives,Return on Assets,Return on Equity
Horizon Bank,190,"$7,881,541,000","$5,755,741,000",879,"$19,380,000","$7,113,388,000","$768,153,000","$1,100,702,000",3%,17%
Amalgamated Bank,191,"$7,852,472,000","$7,067,291,000",396,"$21,527,000","$7,270,544,000","$581,928,000",$0,1%,15%
Union Bank and Trust Company,192,"$7,801,866,000","$5,614,087,000",970,"$23,907,000","$7,099,877,000","$701,989,000","$1,154,897,000",1%,20%
Southside Bank,193,"$7,787,956,000","$5,858,304,000",799,"$28,256,000","$6,900,286,000","$887,670,000","$2,068,251,000",1%,13%
Stock Yards Bank & Trust Company,194,"$7,659,900,000","$6,358,597,000","1,044","$29,302,000","$6,862,585,000","$797,315,000","$355,119,000",2%,15%
Beal Bank,195,"$7,653,795,000","$4,241,780,000",141,"$-27,790,000","$6,859,536,000","$794,259,000","$3,500,000,000",-2%,-14%
First Security Bank,196,"$7,615,928,000","$6,206,379,000",855,"$33,710,000","$6,490,394,000","$1,125,534,000","$14,683,000",2%,15%
The Bancorp Bank,197,"$7,609,296,000","$6,720,705,000",715,"$54,295,000","$6,799,983,000","$809,313,000","$6,800,000",3%,27%
Tompkins Community Bank,198,"$7,605,947,000","$6,556,164,000",854,"$19,985,000","$7,033,082,000","$572,865,000","$8,369,000",1%,14%
Sunflower Bank,199,"$7,598,417,000","$6,028,496,000","1,114","$28,344,000","$6,768,578,000","$829,839,000","$1,218,193,000",2%,14%
Byline Bank,200,"$7,513,634,000","$5,837,305,000",971,"$26,072,000","$6,647,107,000","$866,527,000","$1,133,817,000",1%,12%
Central Pacific Bank,201,"$7,506,788,000","$6,765,127,000",769,"$17,825,000","$6,956,457,000","$550,331,000","$179,817,000",1%,13%
Lake Forest Bank & Trust Company,202,"$7,418,798,000","$5,553,631,000",674,"$40,309,000","$6,699,163,000","$719,635,000","$13,965,634,000",2%,23%
Bangor Savings Bank,203,"$7,408,655,000","$5,909,216,000","1,057","$1,345,000","$7,029,050,000","$379,605,000","$804,091,000",0%,1%
Hanmi Bank,204,"$7,407,990,000","$6,214,113,000",622,"$25,975,000","$6,655,017,000","$752,973,000","$212,960,000",1%,14%
Univest Bank and Trust Co.,205,"$7,343,779,000","$5,952,341,000",891,"$23,260,000","$6,527,601,000","$816,178,000","$1,090,679,000",1%,12%
Peoples Bank,206,"$7,289,589,000","$5,810,931,000","1,286","$27,367,000","$6,483,759,000","$805,830,000","$1,136,508,000",5%,48%
Heritage Bank,207,"$7,233,406,000","$5,800,294,000",821,"$22,157,000","$6,400,071,000","$833,335,000","$587,453,000",2%,17%
Emigrant Bank,208,"$7,214,445,000","$5,658,347,000",461,"$8,402,000","$5,803,384,000","$1,411,061,000","$21,649,000",0%,2%
BankPlus,209,"$7,166,976,000","$6,098,041,000","1,172","$19,111,000","$6,479,706,000","$687,270,000","$53,740,000",1%,11%
Intrust Bank,210,"$7,145,327,000","$6,253,175,000",817,"$20,238,000","$6,828,854,000","$316,473,000","$49,337,000",1%,28%
Liberty Bank,211,"$7,065,126,000","$5,812,339,000",767,"$36,228,000","$6,110,539,000","$954,587,000","$1,222,659,000",2%,16%
Centier Bank,212,"$7,050,289,000","$5,728,300,000",939,"$31,290,000","$6,409,374,000","$640,915,000","$2,535,778,000",2%,20%
Mizuho Bank (USA),213,"$7,047,471,000","$4,485,268,000",101,"$24,748,000","$5,524,010,000","$1,523,461,000","$136,077,000",1%,7%
Ridgewood Savings Bank,214,"$6,919,023,000","$5,501,130,000",534,"$13,228,000","$6,124,901,000","$794,122,000",$0,1%,7%
"First American Trust, FSB",215,"$6,891,506,000","$6,755,912,000",182,"$14,573,000","$6,778,411,000","$113,095,000",$0,1%,82%
CrossFirst Bank,216,"$6,890,558,000","$5,839,084,000",465,"$16,452,000","$6,242,121,000","$648,437,000","$681,184,000",1%,10%
Pathward,217,"$6,869,149,000","$5,905,238,000","1,164","$55,769,000","$6,164,089,000","$705,060,000",$0,3%,32%
"The Washington Trust Company, of Westerly",218,"$6,859,196,000","$5,276,056,000",648,"$13,286,000","$6,389,283,000","$469,913,000","$2,237,287,000",1%,11%
Salem Five Cents Savings Bank,219,"$6,699,454,000","$5,024,963,000",629,"$19,187,000","$5,930,279,000","$769,175,000","$1,620,216,000",1%,10%
Cambridge Savings Bank,220,"$6,683,221,000","$5,118,895,000",489,"$9,916,000","$6,116,162,000","$567,059,000","$1,779,457,000",1%,7%
Westamerica Bank,221,"$6,661,179,000","$5,902,479,000",621,"$39,976,000","$6,132,365,000","$528,814,000",$0,2%,32%
Bank of Colorado,222,"$6,654,442,000","$5,872,182,000",695,"$11,389,000","$6,168,399,000","$486,043,000","$23,189,000",1%,10%
First Mid Bank & Trust,223,"$6,648,100,000","$5,080,550,000",847,"$16,329,000","$5,938,323,000","$709,777,000","$90,541,000",1%,9%
Alpine Bank,224,"$6,559,055,000","$5,737,945,000",833,"$21,256,000","$6,028,596,000","$530,459,000","$213,534,000",1%,16%
WEX Bank,225,"$6,482,513,000","$5,590,795,000",83,"$74,573,000","$5,980,939,000","$501,574,000",$0,5%,66%
Peapack-Gladstone Bank,226,"$6,479,819,000","$5,312,763,000",512,"$19,819,000","$5,797,139,000","$682,680,000","$1,524,730,000",1%,12%
Preferred Bank,227,"$6,462,167,000","$5,409,788,000",300,"$38,073,000","$5,805,626,000","$656,541,000",$0,2%,50%
Forbright Bank,228,"$6,423,693,000","$5,620,386,000",414,"$24,542,000","$5,726,043,000","$697,650,000",$0,2%,14%
MidWestOne Bank,229,"$6,405,914,000","$5,565,962,000",777,"$3,855,000","$5,799,070,000","$606,844,000","$412,708,000",0%,3%
Lake City Bank,230,"$6,395,328,000","$5,520,231,000",619,"$24,913,000","$5,815,682,000","$579,646,000","$749,064,000",2%,18%
Brookline Bank,231,"$6,377,560,000","$4,347,583,000",508,"$14,306,000","$5,797,202,000","$580,358,000","$3,598,102,000",1%,10%
Bank Name Not Available,232,"$6,363,423,000","$6,347,854,000","1,841",$0,"$6,363,423,000","$3,584,646,000",$0,0%,0%
Metropolitan Commercial Bank,233,"$6,301,141,000","$5,165,907,000",253,"$25,974,000","$5,693,845,000","$607,296,000","$400,000,000",2%,17%
b1BANK,234,"$6,294,355,000","$4,839,574,000",742,"$17,536,000","$5,629,947,000","$664,408,000","$99,921,000",1%,11%
First American Bank,235,"$6,251,604,000","$4,803,369,000",870,"$13,751,000","$5,817,385,000","$434,219,000","$1,614,237,000",2%,38%
Middlesex Savings Bank,236,"$6,222,509,000","$4,947,321,000",495,"$4,093,000","$5,597,858,000","$624,651,000","$331,765,000",0%,3%
Johnson Bank,237,"$6,194,812,000","$4,998,490,000",882,"$13,920,000","$5,397,465,000","$797,347,000","$1,535,990,000",1%,7%
City National Bank of West Virginia,238,"$6,184,549,000","$5,185,576,000",958,"$23,962,000","$5,595,196,000","$589,353,000","$1,421,875,000",2%,18%
Stockman Bank of Montana,239,"$6,180,439,000","$5,131,479,000",762,"$15,800,000","$5,696,116,000","$484,323,000","$59,274,000",1%,13%
"RBC Bank, (Georgia)",240,"$6,164,113,000","$5,537,733,000",246,"$27,412,000","$5,604,488,000","$559,625,000","$1,328,748,000",2%,20%
Republic Bank,241,"$6,141,783,000","$4,879,077,000",541,"$-7,139,000","$5,943,796,000","$197,987,000","$3,762,000",0%,-14%
Bankers Trust Company,242,"$6,111,489,000","$4,561,792,000",558,"$17,654,000","$5,592,259,000","$519,230,000","$1,869,296,000",1%,14%
Republic Bank & Trust Company,243,"$6,064,529,000","$4,841,171,000","1,031","$27,601,000","$5,225,121,000","$839,408,000","$266,658,000",2%,13%
TrustCo Bank,244,"$6,045,052,000","$5,212,471,000",776,"$18,234,000","$5,448,142,000","$596,910,000",$0,1%,12%
"Mizrahi Tefahot Bank, Ltd.",245,"$5,993,725,000","$2,023,771,000",0,$0,"$5,993,725,000",$0,$0,0%,0%
German American Bank,246,"$5,986,899,000","$5,209,299,000",862,"$22,233,000","$5,380,287,000","$606,612,000","$277,668,000",1%,15%
Ocean Bank,247,"$5,986,172,000","$5,026,642,000",649,"$18,104,000","$5,432,689,000","$553,483,000","$11,173,000",1%,13%
Five Star Bank,248,"$5,927,077,000","$5,171,457,000",597,"$12,633,000","$5,482,594,000","$444,483,000","$1,215,993,000",1%,12%
Poppy Bank,249,"$5,922,774,000","$4,448,716,000",197,"$14,302,000","$5,432,655,000","$490,119,000",$0,1%,12%
Old Second National Bank,250,"$5,918,823,000","$4,922,731,000",823,"$25,866,000","$5,323,912,000","$594,911,000","$597,102,000",2%,18%
"United Fidelity Bank, fsb",251,"$5,905,325,000","$4,877,139,000",287,"$32,018,000","$5,425,543,000","$479,782,000","$1,479,463,000",2%,28%
Toyota Financial Savings Bank,252,"$5,903,502,000","$4,851,516,000",112,"$1,462,000","$5,115,175,000","$788,327,000",$0,0%,1%
Merrick Bank,253,"$5,822,641,000","$4,663,418,000",504,"$63,017,000","$4,728,253,000","$1,094,388,000",$0,4%,22%
Great Southern Bank,254,"$5,771,935,000","$4,835,183,000",953,"$22,177,000","$5,139,364,000","$632,571,000","$1,468,977,000",2%,14%
The Camden National Bank,255,"$5,707,400,000","$4,682,533,000",607,"$13,329,000","$5,232,292,000","$475,108,000","$1,047,643,000",1%,11%
Northfield Bank,256,"$5,661,261,000","$3,895,660,000",403,"$12,198,000","$4,938,132,000","$723,129,000","$123,450,000",1%,7%
"TBK BANK, SSB",257,"$5,627,821,000","$4,067,844,000","1,465","$14,184,000","$4,681,642,000","$946,179,000","$12,958,000",1%,6%
Bank of India,258,"$5,615,763,000","$3,833,107,000",0,$0,"$5,615,763,000",$0,$0,0%,0%
HarborOne Bank,259,"$5,572,957,000","$4,303,856,000",566,"$7,651,000","$5,013,079,000","$559,878,000","$1,128,409,000",1%,6%
CNB Bank,260,"$5,562,941,000","$4,855,815,000",737,"$17,235,000","$5,030,257,000","$532,684,000","$64,806,000",2%,28%
Heritage Bank of Commerce,261,"$5,538,878,000","$4,465,787,000",339,"$19,932,000","$4,874,715,000","$664,163,000",$0,1%,12%
Cambridge Trust Company,262,"$5,528,226,000","$4,677,496,000",429,"$12,435,000","$5,023,355,000","$504,871,000","$1,642,224,000",1%,10%
"Community Trust Bank, Inc.",263,"$5,500,228,000","$4,561,515,000",891,"$19,397,000","$4,827,577,000","$672,651,000","$275,000",1%,12%
First National Bank Alaska,264,"$5,473,245,000","$3,989,843,000",610,"$13,454,000","$5,044,690,000","$428,555,000","$5,778,000",1%,13%
Fremont Bank,265,"$5,462,851,000","$4,734,898,000",739,"$16,361,000","$5,080,606,000","$382,245,000","$249,812,000",1%,17%
Firstrust Savings Bank,266,"$5,457,825,000","$3,812,957,000",572,"$25,438,000","$4,970,802,000","$487,023,000","$851,080,000",2%,21%
The American National Bank of Texas,267,"$5,433,594,000","$4,488,022,000",540,"$9,334,000","$5,276,478,000","$157,116,000","$390,000",1%,23%
The Cape Cod Five Cents Savings Bank,268,"$5,425,832,000","$4,350,732,000",569,"$4,751,000","$4,938,407,000","$487,425,000","$631,961,000",0%,4%
Broadway National Bank,269,"$5,309,682,000","$4,617,589,000",636,"$15,956,000","$4,987,896,000","$321,786,000","$411,261,000",1%,21%
Equity Bank,270,"$5,152,516,000","$4,301,505,000",712,"$13,922,000","$4,644,172,000","$508,344,000","$484,704,000",1%,11%
Farmers & Merchants Bank of Central California,271,"$5,134,465,000","$4,540,525,000",374,"$24,062,000","$4,614,555,000","$519,910,000",$0,2%,19%
The Farmers National Bank of Canfield,272,"$5,087,638,000","$4,445,494,000",621,"$7,521,000","$4,692,302,000","$395,336,000","$150,775,000",1%,9%
Manufacturers Bank,273,"$5,031,088,000","$3,961,904,000",658,"$-8,559,000","$4,235,538,000","$795,550,000","$142,560,000",-1%,-4%
American National Bank,274,"$5,013,389,000","$3,979,319,000",548,"$18,966,000","$4,592,190,000","$421,199,000","$250,354,000",2%,19%
Heartland Bank and Trust Company,275,"$5,007,683,000","$4,311,733,000",725,"$11,777,000","$4,471,964,000","$535,719,000","$247,674,000",1%,10%
CTBC Bank Corp. (USA),276,"$4,995,209,000","$4,302,184,000",378,"$10,238,000","$4,352,601,000","$642,608,000","$98,490,000",1%,6%
Institution for Savings in Newburyport and Its Vicinity,277,"$4,920,590,000","$3,609,292,000",187,"$14,162,000","$4,372,797,000","$547,793,000","$18,075,000",1%,11%
Choice Financial Group,278,"$4,919,730,000","$4,450,304,000",438,"$19,321,000","$4,474,325,000","$445,405,000","$29,157,000",2%,18%
First International Bank & Trust,279,"$4,876,751,000","$4,308,584,000",677,"$19,296,000","$4,513,654,000","$363,097,000","$77,522,000",2%,22%
Mercantile Bank,280,"$4,876,281,000","$3,615,145,000",633,"$23,552,000","$4,306,557,000","$569,724,000","$956,141,000",2%,17%
Morton Community Bank,281,"$4,857,294,000","$4,065,988,000",420,"$17,386,000","$4,549,099,000","$308,195,000","$105,913,000",1%,24%
The Canandaigua National Bank and Trust Company,282,"$4,839,108,000","$3,791,307,000",626,"$11,659,000","$4,483,457,000","$355,651,000","$529,067,000",1%,13%
First National Bank of America,283,"$4,823,087,000","$2,908,466,000",352,"$31,869,000","$4,417,297,000","$405,790,000",$0,3%,33%
SmartBank,284,"$4,769,785,000","$4,235,203,000",586,"$12,277,000","$4,281,416,000","$488,369,000","$767,805,000",1%,10%
Community Bank of Mississippi,285,"$4,734,024,000","$4,230,370,000",874,"$4,449,000","$4,415,140,000","$318,884,000","$17,724,000",0%,6%
First Internet Bank of Indiana,286,"$4,711,218,000","$3,636,285,000",277,"$-1,323,000","$4,273,764,000","$437,454,000","$261,750,000",0%,-1%
Southern Bank and Trust Company,287,"$4,687,437,000","$4,135,102,000",584,"$15,612,000","$4,425,383,000","$262,054,000","$114,348,000",1%,26%
Hinsdale Bank & Trust Company,288,"$4,664,905,000","$3,897,974,000",211,"$15,906,000","$4,152,614,000","$512,291,000","$1,036,252,000",1%,13%
Bridgewater Bank,289,"$4,596,551,000","$3,447,375,000",246,"$12,431,000","$4,141,659,000","$454,892,000","$438,008,000",1%,11%
Mid Penn Bank,290,"$4,578,168,000","$3,891,370,000",588,"$13,384,000","$4,028,008,000","$550,160,000","$367,158,000",1%,10%
Northpointe Bank,291,"$4,555,732,000","$2,894,165,000",898,"$6,704,000","$4,106,900,000","$448,832,000","$1,411,636,000",1%,6%
HomeTrust Bank,292,"$4,526,672,000","$3,679,085,000",560,"$7,235,000","$4,048,098,000","$478,574,000","$9,341,000",1%,7%
Northbrook Bank and Trust Company,293,"$4,516,111,000","$3,727,841,000",98,"$16,335,000","$4,137,007,000","$379,104,000","$1,197,865,000",1%,18%
Wells Fargo Bank South Central,294,"$4,486,686,000","$3,651,107,000",3,"$6,258,000","$3,734,737,000","$751,949,000","$507,442,000",0%,3%
VeraBank,295,"$4,481,234,000","$3,556,460,000",527,"$16,887,000","$4,090,336,000","$390,898,000",$0,2%,18%
Wilson Bank and Trust,296,"$4,478,640,000","$4,059,213,000",563,"$14,127,000","$4,090,632,000","$388,008,000","$51,978,000",1%,15%
CFG Bank,297,"$4,463,058,000","$3,969,349,000",245,"$38,861,000","$4,059,912,000","$403,146,000",$0,4%,39%
Enterprise Bank and Trust Company,298,"$4,441,891,000","$4,016,708,000",561,"$11,434,000","$4,071,201,000","$370,690,000","$62,334,000",1%,13%
Bank of Stockton,299,"$4,430,884,000","$3,656,311,000",423,"$9,670,000","$3,800,980,000","$629,904,000",$0,1%,6%
Capital City Bank,300,"$4,402,943,000","$3,884,045,000",771,"$15,676,000","$3,980,220,000","$422,723,000","$115,984,000",1%,15%
First National Bank Texas,301,"$4,376,823,000","$3,646,338,000","2,923","$11,925,000","$4,212,679,000","$164,144,000",$0,1%,34%
Carter Bank & Trust,302,"$4,360,458,000","$3,533,580,000",669,"$16,405,000","$4,010,842,000","$349,616,000","$429,904,000",2%,20%
River City Bank,303,"$4,328,203,000","$3,440,716,000",128,"$12,881,000","$3,961,696,000","$366,507,000","$1,649,728,000",1%,14%
Inwood National Bank,304,"$4,312,484,000","$3,484,387,000",234,"$14,069,000","$3,887,621,000","$424,863,000","$4,860,000",1%,13%
First Bank & Trust,305,"$4,284,964,000","$3,729,866,000",697,"$11,011,000","$3,852,848,000","$432,116,000","$84,052,000",1%,10%
Texas Bank and Trust Company,306,"$4,257,070,000","$3,471,997,000",530,"$13,641,000","$3,850,923,000","$406,147,000",$0,1%,14%
Southern Bank,307,"$4,243,128,000","$3,767,503,000",691,"$2,861,000","$3,847,086,000","$396,042,000","$781,000",0%,3%
Hingham Institution for Savings,308,"$4,206,134,000","$2,534,021,000",86,"$8,510,000","$3,813,396,000","$392,738,000",$0,1%,9%
Primis Bank,309,"$4,198,206,000","$3,685,017,000",532,"$7,252,000","$3,727,907,000","$470,299,000","$67,520,000",1%,6%
InterBank,310,"$4,193,164,000","$3,664,993,000",516,"$42,825,000","$3,680,388,000","$512,776,000",$0,4%,34%
The First National Bank of Long Island,311,"$4,186,323,000","$3,399,533,000",297,"$7,027,000","$3,821,787,000","$364,536,000","$300,000,000",1%,8%
Hills Bank and Trust Company,312,"$4,175,277,000","$3,445,920,000",503,"$12,494,000","$3,687,938,000","$487,339,000","$15,943,000",1%,10%
"Bank First, N.A.",313,"$4,165,520,000","$3,474,005,000",389,"$11,436,000","$3,580,733,000","$584,787,000","$28,987,000",1%,9%
Bank of Marin,314,"$4,135,167,000","$3,264,810,000",311,"$9,704,000","$3,719,226,000","$415,941,000","$11,790,000",1%,9%
Royal Business Bank,315,"$4,106,226,000","$3,190,556,000",363,"$12,966,000","$3,469,578,000","$636,648,000","$3,470,000",1%,8%
City Bank,316,"$4,055,626,000","$3,606,905,000",633,"$11,024,000","$3,672,562,000","$383,064,000","$325,946,000",1%,12%
Leader Bank,317,"$4,020,014,000","$3,435,357,000",394,"$3,778,000","$3,555,884,000","$464,130,000","$1,085,611,000",0%,3%
"Summit Community Bank, Inc",318,"$3,949,334,000","$3,310,227,000",429,"$15,435,000","$3,489,085,000","$460,249,000","$327,949,000",2%,14%
Southern First Bank,319,"$3,939,656,000","$3,446,145,000",302,"$3,170,000","$3,613,152,000","$326,504,000","$23,197,000",0%,4%
First Federal Bank,320,"$3,932,818,000","$3,556,399,000",635,"$8,369,000","$3,665,938,000","$266,880,000","$603,251,000",1%,15%
Bar Harbor Bank & Trust,321,"$3,925,512,000","$3,061,414,000",491,"$14,308,000","$3,464,085,000","$461,427,000","$772,952,000",1%,13%
RCB Bank,322,"$3,897,653,000","$3,314,221,000",758,"$12,508,000","$3,560,690,000","$336,963,000",$0,1%,15%
First State Community Bank,323,"$3,897,072,000","$3,481,767,000",689,"$14,306,000","$3,499,693,000","$397,379,000","$7,313,000",1%,14%
Alerus Financial,324,"$3,884,742,000","$3,114,261,000",777,"$9,317,000","$3,544,508,000","$340,234,000","$360,292,000",1%,11%
American Business Bank,325,"$3,879,119,000","$3,076,153,000",224,"$13,085,000","$3,599,437,000","$279,682,000","$1,839,000",1%,20%
"Spencer Savings Bank, SLA",326,"$3,856,078,000","$2,911,145,000",316,"$6,528,000","$3,445,059,000","$411,019,000","$140,000,000",1%,6%
"Third Coast Bank, SSB",327,"$3,855,345,000","$3,326,907,000",370,"$10,837,000","$3,364,383,000","$490,962,000","$486,206,000",1%,9%
Green Dot Bank DBA Bonneville Bank,328,"$3,841,285,000","$3,702,039,000",89,"$25,123,000","$3,751,976,000","$89,309,000",$0,3%,120%
The Bank of East Asia Ltd.,329,"$3,820,800,000","$3,176,544,000",0,$0,"$3,820,800,000",$0,$0,0%,0%
ENCORE BANK,330,"$3,809,901,000","$2,820,970,000",313,"$2,072,000","$3,529,080,000","$280,821,000",$0,0%,3%
FineMark National Bank & Trust,331,"$3,782,590,000","$2,895,382,000",260,"$2,564,000","$3,490,279,000","$292,311,000",$0,0%,4%
BCB Community Bank,332,"$3,763,360,000","$2,868,743,000",298,"$8,572,000","$3,429,708,000","$333,652,000",$0,1%,10%
PeoplesBank,333,"$3,751,167,000","$3,214,172,000",306,"$6,439,000","$3,394,776,000","$356,391,000","$1,218,040,000",1%,7%
The Fidelity Bank,334,"$3,745,066,000","$3,513,829,000",508,"$15,030,000","$3,532,346,000","$212,720,000","$21,757,000",2%,31%
Citizens First Bank,335,"$3,742,550,000","$3,302,173,000",407,"$13,830,000","$3,414,621,000","$327,929,000","$95,816,000",1%,18%
Barrington Bank & Trust Company,336,"$3,720,399,000","$2,760,072,000",816,"$6,907,000","$3,272,294,000","$448,105,000","$1,475,405,000",1%,6%
Needham Bank,337,"$3,716,578,000","$3,144,914,000",317,"$8,752,000","$3,364,878,000","$351,700,000","$602,309,000",1%,10%
Bank of the Sierra,338,"$3,694,796,000","$2,976,779,000",500,"$10,018,000","$3,329,926,000","$364,870,000",$0,1%,11%
Peoples Security Bank and Trust Company,339,"$3,677,877,000","$3,237,952,000",395,"$8,240,000","$3,318,580,000","$359,297,000","$549,126,000",1%,9%
